Type,isElite,WeaponType,MaxHp,Damage,Speed,IsIdleLeft
Boar,FALSE,None,8,2,2,FALSE
Boar,TRUE,None,26,4,3,FALSE
,,,,,,
DireBoar,FALSE,None,10,3,4,FALSE
DireBoar,TRUE,None,30,4,5,FALSE
,,,,,,
GoblinGuard,FALSE,Handgun,8,2,2,FALSE
GoblinGuard,FALSE,Pike,8,3,2,FALSE
GoblinGuard,FALSE,Bow,8,4,2,FALSE
,,,,,,
GoblinGuard,TRUE,Handgun,32,3,3,FALSE
GoblinGuard,TRUE,Pike,32,3,3,FALSE
GoblinGuard,TRUE,Bow,32,5,3,FALSE
,,,,,,
EliteGoblinGuard,FALSE,Shotgun,15,3,2,FALSE
EliteGoblinGuard,FALSE,Blowpipe,15,3,2,FALSE
EliteGoblinGuard,FALSE,Hoe,15,3,2,FALSE
,,,,,,
EliteGoblinGuard,TRUE,Shotgun,40,3,3,FALSE
EliteGoblinGuard,TRUE,Blowpipe,40,3,3,FALSE
EliteGoblinGuard,TRUE,Hoe,40,3,3,FALSE
,,,,,,
GoblinShaman,FALSE,GoblinMagicStaff,15,3,2,FALSE
GoblinShaman,TRUE,GoblinMagicStaff,45,3,3,FALSE
,,,,,,
TrumpetFlower,FALSE,None,8,3,0,FALSE
TrumpetFlower,TRUE,None,44,3,0,FALSE
,,,,,,
GunShark,TRUE,None,40,4,5,FALSE
,,,,,,
GoblinGiant,FALSE,Hammer,40,3,2,FALSE
GoblinGiant,TRUE,Hammer,120,4,3,FALSE
,,,,,,
Stake,FALSE,None,99999,0,0,FALSE
